Date,Weight(lbs)
1/8/2021,193.5
1/9/2021,193.5
1/10/2021,195.4
1/11/2021,196.6
1/12/2021,196.6
1/13/2021,196.4
1/14/2021,195.4
1/15/2021,195
1/16/2021,195.4
1/17/2021,196
1/18/2021,195.8
1/19/2021,196
1/20/2021,195.6
1/21/2021,195.4
1/22/2021,195
1/23/2021,194.8
1/24/2021,194.8
1/25/2021,195
1/26/2021,193.6
1/27/2021,192.6
1/28/2021,192.2
1/29/2021,192.2
1/30/2021,192
1/31/2021,192
2/1/2021,191
2/2/2021,191.4
2/3/2021,191.4
2/4/2021,190.4
2/5/2021,188.8
2/6/2021,189.4
2/7/2021,192.4
2/8/2021,190.2
2/9/2021,190.8
2/10/2021,189
2/11/2021,188.8
2/12/2021,189.4
2/13/2021,189.4
2/14/2021,189
2/15/2021,189.4
2/16/2021,186
2/17/2021,188.2
2/18/2021,186.6
2/19/2021,186.4
2/20/2021,188.4
2/21/2021,186.4
2/22/2021,184.2
2/23/2021,184.4
2/24/2021,184.4
2/25/2021,185.4
2/26/2021,186.6
2/27/2021,186
2/28/2021,188.4
3/1/2021,186.4
3/2/2021,187.4
3/3/2021,186.6
3/4/2021,187.6
3/5/2021,188.6
3/6/2021,188
3/7/2021,184.2
3/8/2021,184.4
3/9/2021,183.6
3/10/2021,183.4
3/11/2021,184
3/12/2021,185.2
3/13/2021,185
3/14/2021,185
3/15/2021,184.8
3/16/2021,184
3/17/2021,182.4
3/18/2021,183
3/19/2021,183.4
3/20/2021,189
3/21/2021,187.7
3/22/2021,186.8
3/23/2021,184.6
3/24/2021,184.6
3/25/2021,184.8
3/26/2021,186.4
3/27/2021,185.4
3/28/2021,185
3/29/2021,186
3/30/2021,183.8
3/31/2021,182.2
4/1/2021,182.6
4/2/2021,184.2
4/3/2021,183.5
4/4/2021,182.8
4/5/2021,185.8
4/6/2021,185
4/7/2021,184
4/8/2021,184.2
4/9/2021,185
4/10/2021,185
4/11/2021,185
4/12/2021,186.4
4/13/2021,184.6
4/14/2021,184
4/15/2021,184.8
4/16/2021,184.2
4/17/2021,185
4/18/2021,187
4/19/2021,189.7
4/20/2021,187.5
4/21/2021,185.8
4/22/2021,186
4/23/2021,184.8
4/24/2021,186
4/25/2021,188
4/26/2021,189.8
4/27/2021,187.8
4/28/2021,188.2
4/29/2021,186.6
4/30/2021,187.6
5/1/2021,187.6
5/2/2021,186.6
5/3/2021,187.6
5/4/2021,186.2
5/5/2021,185.8
5/6/2021,185.6
5/7/2021,185.2
5/8/2021,185.8
5/9/2021,190.5
5/10/2021,190.8
5/11/2021,186.4
5/12/2021,185.4
5/13/2021,184
5/14/2021,184.8
5/15/2021,185.5
5/16/2021,186.4
5/17/2021,187
5/18/2021,184.8
5/19/2021,184.4
5/20/2021,185
5/21/2021,184
5/22/2021,182.8
5/23/2021,181
5/24/2021,183.4
5/25/2021,183.4
5/26/2021,181.6
5/27/2021,180.4
5/28/2021,181.8
5/29/2021,182.8
5/30/2021,187.4
5/31/2021,184.2
6/1/2021,182
6/2/2021,181.8
6/3/2021,181.8
6/4/2021,183.8
6/5/2021,183.2
6/6/2021,184
6/7/2021,184
6/8/2021,181.2
6/9/2021,179.2
6/10/2021,179.8
6/11/2021,180.2
6/12/2021,179.8
6/13/2021,182.8
6/14/2021,182.6
6/15/2021,181.4
6/16/2021,179.6
6/17/2021,180.4
6/18/2021,183
6/19/2021,186
6/20/2021,186.4
6/21/2021,187
6/22/2021,183.8
6/23/2021,182.2
6/24/2021,181.2
6/25/2021,181.2
6/26/2021,182.3
6/27/2021,183.4
6/28/2021,185.4
6/29/2021,183.4
6/30/2021,181
7/1/2021,182.4
7/2/2021,184.4
7/3/2021,183
7/4/2021,185
7/5/2021,185.6
7/6/2021,185.8
7/7/2021,183.6
7/8/2021,181.8
7/9/2021,182.8
7/10/2021,185
7/11/2021,187
7/12/2021,187
7/13/2021,182.6
7/14/2021,181
7/15/2021,180
7/16/2021,179.8
7/17/2021,182
7/18/2021,184.4
7/19/2021,185.4
7/20/2021,181.8
7/21/2021,179.8
7/22/2021,180.2
7/23/2021,180
7/24/2021,180.4
7/25/2021,183
7/26/2021,183.4
7/27/2021,181.4
7/28/2021,180.4
7/29/2021,180.6
7/30/2021,181
7/31/2021,181.6
8/1/2021,185.8
8/2/2021,187
8/3/2021,182
8/4/2021,179
8/5/2021,178.2
8/6/2021,179.2
8/7/2021,183
8/8/2021,182.2
8/9/2021,182.2
8/10/2021,179
8/11/2021,177
8/12/2021,176.6
8/13/2021,177.6
8/14/2021,179
8/15/2021,180.2
8/16/2021,181
8/17/2021,179
8/18/2021,176.6
8/19/2021,175.6
8/20/2021,175.8
8/21/2021,178
8/22/2021,181
8/23/2021,182
8/24/2021,178
8/25/2021,176.6
8/26/2021,176.8
8/27/2021,175.2
8/28/2021,174.8
8/29/2021,177.6
8/30/2021,181.2
8/31/2021,178.2
9/1/2021,175.2
9/2/2021,174.8
9/3/2021,174.4
9/4/2021,175
9/5/2021,179.2
9/6/2021,179.2
9/7/2021,177.4
9/8/2021,175.2
9/9/2021,174.4
9/10/2021,174
9/11/2021,175.6
9/12/2021,179.2
9/13/2021,177.4
9/14/2021,174
9/15/2021,172.8
9/16/2021,172.4
9/17/2021,172.6
9/18/2021,174.8
9/19/2021,177.4
9/20/2021,178.2
9/21/2021,175.6
9/22/2021,174.5
9/23/2021,174
9/24/2021,174.2
9/25/2021,176.4
9/26/2021,173.4
9/27/2021,175.4
9/28/2021,174.4
9/29/2021,173.2
9/30/2021,173
10/1/2021,172.8
10/2/2021,173.6
10/3/2021,176.6
10/4/2021,178
10/5/2021,174.6
10/6/2021,173
10/7/2021,173.2
10/8/2021,172.4
10/9/2021,174.8
10/10/2021,174.6
10/11/2021,175.8
10/12/2021,176
10/13/2021,173.6
10/14/2021,172.6
10/15/2021,172.4
10/16/2021,176
10/17/2021,176
10/18/2021,176.6
10/19/2021,174.8
10/20/2021,174.6
10/21/2021,173.8
10/22/2021,173.6
10/23/2021,176
10/24/2021,178.4
10/25/2021,179
10/26/2021,176
10/27/2021,175.6
10/28/2021,177.6
10/29/2021,177.4
10/30/2021,178.6
10/31/2021,181
11/01/2021,179.4
11/02/2021,176.2
11/03/2021,175.6
11/04/2021,175.4
11/05/2021,175.6
11/06/2021,178.2
11/07/2021,176
11/08/2021,176.4
11/09/2021,175.2
11/10/2021,174.2
11/11/2021,174.8
11/12/2021,174.4
11/13/2021,177.2
11/14/2021,174.4
11/15/2021,176.6
11/16/2021,173.8
11/17/2021,173
11/18/2021,174
11/19/2021,175.6
11/20/2021,172.8
11/21/2021,172.6
11/22/2021,173.2
11/23/2021,174.8
11/24/2021,175.8
11/25/2021,175.8
11/26/2021,172.6
11/27/2021,173.6
11/28/2021,173
11/29/2021,176.2
11/30/2021,174.4
12/01/2021,175.6
12/02/2021,176.6
12/03/2021,173.8
12/04/2021,174.2
12/05/2021,177.6
12/06/2021,178
12/07/2021,175
12/08/2021,174.8
12/09/2021,174.4
12/10/2021,173.2
12/11/2021,176
12/12/2021,176
12/13/2021,179
12/14/2021,178
12/15/2021,175.2
12/16/2021,175.2
12/17/2021,175.8
12/18/2021,178.8
12/19/2021,177.4
12/20/2021,180.8
12/21/2021,178.2
12/22/2021,176.6
12/23/2021,173.6
12/24/2021,174.6
12/25/2021,173.6
12/26/2021,174.2
12/27/2021,177
12/28/2021,176
12/29/2021,176.2
12/30/2021,177
12/31/2021,177.8
01/01/2022,176.6
01/02/2022,175.4
01/03/2022,174
01/04/2022,176.6
01/05/2022,174.4
01/06/2022,175
01/07/2022,173
01/08/2022,174.2
01/09/2022,176.2
01/10/2022,174.4
01/11/2022,174.4
01/12/2022,172.4
01/13/2022,175
01/14/2022,173.8
01/15/2022,173.8
01/16/2022,173.6
01/17/2022,173.4
01/18/2022,173.4
01/19/2022,172.2
01/20/2022,173.8
01/21/2022,174
01/22/2022,174.4
01/23/2022,173.8
01/24/2022,174.8
01/25/2022,173.6
01/26/2022,174.4
01/27/2022,174.2
01/28/2022,174
01/29/2022,175
01/30/2022,176
01/31/2022,176.8
02/01/2022,175
02/02/2022,174.4
02/03/2022,175.6
02/04/2022,174.8
02/05/2022,173.8
02/06/2022,174.8
02/07/2022,176.4
02/08/2022,174.2
02/09/2022,174.6
02/10/2022,175.4
02/11/2022,175.4
02/12/2022,177.6
02/13/2022,180
02/14/2022,178.6
02/15/2022,176.2
02/16/2022,174.8
02/17/2022,174.4
02/18/2022,175.6
02/19/2022,174.6
02/20/2022,175.2
02/21/2022,178
02/22/2022,177.8
02/23/2022,174.6
02/24/2022,174.6
02/25/2022,172.8
02/26/2022,174.2
02/27/2022,175.8
02/28/2022,177.4
03/01/2022,175
03/02/2022,172.6
03/03/2022,172.2
03/04/2022,172.8
03/05/2022,173.4
03/06/2022,175
03/07/2022,173.8
03/08/2022,173.8
03/09/2022,173.2
03/10/2022,171.8
03/11/2022,172.2
03/12/2022,174
03/13/2022,174
03/14/2022,175.4
03/15/2022,172.6
03/16/2022,169.4
03/17/2022,174
03/18/2022,172
03/19/2022,172.4
03/20/2022,172
03/21/2022,172.4
03/22/2022,172.2
03/23/2022,172.8
03/24/2022,172.8
03/25/2022,172.4
03/26/2022,172.4
03/27/2022,175